epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1906.26,0.22324,0.01599,0,0.23219,0.83492,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.26054,0.00871,0,0.13825,0.96396,0.0007328,0.0007328,0.0007328
66,1936.23,0.22074,0.01559,0,0.22168,0.83065,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.25626,0.00814,0,0.13829,0.96272,0.000713,0.000713,0.000713
67,1964.4,0.22826,0.01287,0,0.22835,0.8351,0.99986,1,0.995,0.99499,0.99986,1,0.995,0.995,0.26233,0.00787,0,0.13663,0.96194,0.0006932,0.0006932,0.0006932
68,1993.97,0.21333,0.01366,0,0.21826,0.83102,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.26719,0.00927,0,0.13801,0.96229,0.0006734,0.0006734,0.0006734
69,2024.38,0.21663,0.01626,0,0.21602,0.82809,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.24654,0.00868,0,0.13584,0.9612,0.0006536,0.0006536,0.0006536
70,2053.03,0.23072,0.01071,0,0.23283,0.83827,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.25783,0.00807,0,0.13671,0.96426,0.0006338,0.0006338,0.0006338
71,2082.8,0.21937,0.01126,0,0.22511,0.83173,0.99986,1,0.995,0.99499,0.99986,1,0.995,0.99499,0.25268,0.00894,0,0.13347,0.96722,0.000614,0.000614,0.000614
72,2111.99,0.2076,0.01189,0,0.20951,0.82565,0.99986,1,0.995,0.99499,0.99986,1,0.995,0.995,0.24601,0.00916,0,0.1314,0.96969,0.0005942,0.0005942,0.0005942
73,2140.76,0.21857,0.01297,0,0.21509,0.83038,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.25287,0.00829,0,0.13371,0.95953,0.0005744,0.0005744,0.0005744
74,2170.46,0.20438,0.01241,0,0.21297,0.82373,0.99977,1,0.995,0.995,0.99977,1,0.995,0.995,0.25241,0.00924,0,0.13705,0.96826,0.0005546,0.0005546,0.0005546
75,2198.73,0.21014,0.01073,0,0.21607,0.82437,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.24847,0.0076,0,0.13039,0.96313,0.0005348,0.0005348,0.0005348
76,2227.53,0.20821,0.01264,0,0.21603,0.82632,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.24988,0.0078,0,0.13338,0.96053,0.000515,0.000515,0.000515
77,2256.96,0.1969,0.01108,0,0.20296,0.82117,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.27446,0.00786,0,0.13822,0.97276,0.0004952,0.0004952,0.0004952
78,2285.59,0.20933,0.01013,0,0.21167,0.8282,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.26044,0.00694,0,0.13481,0.96848,0.0004754,0.0004754,0.0004754
79,2316.62,0.20409,0.01169,0,0.20326,0.82514,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.25188,0.00813,0,0.13292,0.96131,0.0004556,0.0004556,0.0004556
80,2347.05,0.20004,0.01096,0,0.20826,0.82455,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.24015,0.00741,0,0.12554,0.96367,0.0004358,0.0004358,0.0004358
81,2377.41,0.19453,0.01186,0,0.20421,0.82597,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.2451,0.00752,0,0.12922,0.96545,0.000416,0.000416,0.000416
82,2408.6,0.20033,0.0111,0,0.20338,0.82695,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.24232,0.00794,0,0.12751,0.97647,0.0003962,0.0003962,0.0003962
83,2439.07,0.19679,0.0116,0,0.20342,0.82591,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.24861,0.00777,0,0.12813,0.97033,0.0003764,0.0003764,0.0003764
84,2468.54,0.19604,0.00964,0,0.20252,0.82619,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.25558,0.00699,0,0.13045,0.97603,0.0003566,0.0003566,0.0003566
85,2499.74,0.19497,0.01083,0,0.20352,0.82499,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.24013,0.00702,0,0.12766,0.96936,0.0003368,0.0003368,0.0003368
86,2529.45,0.19688,0.01021,0,0.21038,0.82568,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.24745,0.00783,0,0.12944,0.97075,0.000317,0.000317,0.000317
87,2560.85,0.19091,0.00903,0,0.19889,0.82526,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.24608,0.0073,0,0.12669,0.9689,0.0002972,0.0002972,0.0002972
88,2591.8,0.18206,0.00932,0,0.18866,0.82286,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.24942,0.00751,0,0.12772,0.97441,0.0002774,0.0002774,0.0002774
89,2621.24,0.18737,0.00962,0,0.203,0.82507,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.26252,0.00765,0,0.13251,0.97769,0.0002576,0.0002576,0.0002576
90,2651.63,0.18947,0.01117,0,0.20305,0.82712,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.25847,0.0069,0,0.13083,0.97511,0.0002378,0.0002378,0.0002378
91,2698.17,0.12061,0.00595,0,0.10389,0.78147,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.26766,0.00645,0,0.13493,0.97127,0.000218,0.000218,0.000218
92,2728.14,0.11606,0.00623,0,0.09641,0.77961,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.25351,0.00732,0,0.12919,0.97615,0.0001982,0.0001982,0.0001982
93,2756.82,0.11098,0.0057,0,0.09689,0.77672,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.23846,0.00625,0,0.12234,0.97254,0.0001784,0.0001784,0.0001784
94,2786.66,0.11256,0.00559,0,0.09439,0.776,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.25018,0.00663,0,0.12675,0.97192,0.0001586,0.0001586,0.0001586
95,2817.3,0.10672,0.0055,0,0.09059,0.77928,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.25321,0.00664,0,0.1283,0.97431,0.0001388,0.0001388,0.0001388
96,2847.46,0.10766,0.00529,0,0.09153,0.78014,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.23918,0.00647,0,0.12294,0.97828,0.000119,0.000119,0.000119
97,2876.13,0.10344,0.00492,0,0.08981,0.77519,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.25693,0.00679,0,0.12841,0.98006,9.92e-05,9.92e-05,9.92e-05
98,2906.02,0.1043,0.00488,0,0.08821,0.77283,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.2394,0.00627,0,0.12162,0.97869,7.94e-05,7.94e-05,7.94e-05
99,2934.53,0.10275,0.00591,0,0.08503,0.77706,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.25342,0.00604,0,0.12738,0.97978,5.96e-05,5.96e-05,5.96e-05
100,2962.45,0.10203,0.00553,0,0.08712,0.7721,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.24778,0.00595,0,0.12491,0.98182,3.98e-05,3.98e-05,3.98e-05
