epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2973.23,0.03046,0.04451,0,0.08045,0.83358,1,1,0.995,0.995,1,1,0.995,0.995,0.0839,0.04505,0,0.11406,0.42795,0.000218,0.000218,0.000218
92,3005.49,0.02637,0.03636,0,0.03808,0.83808,1,1,0.995,0.995,1,1,0.995,0.995,0.057,0.04574,0,0.08066,0.4058,0.0001982,0.0001982,0.0001982
93,3036.55,0.02561,0.03502,0,0.0362,0.83638,1,1,0.995,0.995,1,1,0.995,0.995,0.06354,0.05443,0,0.10344,0.41314,0.0001784,0.0001784,0.0001784
94,3069.14,0.02331,0.03318,0,0.03355,0.83346,0.99987,1,0.995,0.995,0.99987,1,0.995,0.995,0.06064,0.05345,0,0.09864,0.41215,0.0001586,0.0001586,0.0001586
95,3101.36,0.02278,0.03205,0,0.03293,0.83388,1,1,0.995,0.995,1,1,0.995,0.995,0.06797,0.04361,0,0.09312,0.41627,0.0001388,0.0001388,0.0001388
96,3135.13,0.02061,0.02983,0,0.03012,0.83433,1,1,0.995,0.995,1,1,0.995,0.995,0.05181,0.0414,0,0.07469,0.4011,0.000119,0.000119,0.000119
97,3167.53,0.01899,0.02807,0,0.02848,0.83759,1,1,0.995,0.995,1,1,0.995,0.995,0.03823,0.04602,0,0.05254,0.38731,9.92e-05,9.92e-05,9.92e-05
98,3200.4,0.01792,0.0271,0,0.02676,0.83053,1,1,0.995,0.995,1,1,0.995,0.995,0.03483,0.04393,0,0.05407,0.38576,7.94e-05,7.94e-05,7.94e-05
99,3230.7,0.01703,0.02582,0,0.02578,0.83239,1,1,0.995,0.995,1,1,0.995,0.995,0.03302,0.04464,0,0.05587,0.38219,5.96e-05,5.96e-05,5.96e-05
100,3263.75,0.01565,0.02567,0,0.02434,0.83695,1,1,0.995,0.995,1,1,0.995,0.995,0.03372,0.04117,0,0.05557,0.38245,3.98e-05,3.98e-05,3.98e-05
